Izvođač,Pjesma,Godina,Video ID
Indira Radić,Zmaj,2003,o0QKXENh5gk
Jelena Karleuša,KarlyB*tch,2023,W_uuB0JFjAo
Jelena Karleuša feat. Milica Pavlović,Mashallah,2023,rmsufle3Duo
Grše,Dalmatino,2024,BmsKm0ojJgU
Grše,Fantazija,2024,JjqHECpLLSE
Maja Šuput,Lopove,2015,m721fhfnb30
Lidija Bačić,Viski,2014,QyhzZEl3--o
Jelena Rozga,Lavica,2024,uwa307ohNF4
Parni Valjak,Moja je pjesma lagana,1991,jt2F6se5-MU
Prljavo Kazalište,Lupi petama,1993,ZNo0oKghukk
Dino Merlin,Krive karte,2022,3g0cTlluVos
Vesna Pisarović,Dolje na koljena,2002,oT-DdbPdN4Y
Edo Maajka,No sikiriki,2004,CT5nvEHFrO0
Beogradski Sindikat,Sistem te laže,2016,O4WNvlMShno
Rasta,Kavali,2014,XNhRXfTJK_c
Sajfer,Karneval,2023,ZTYt6_6D_BA
Lepa Brena,Uđi slobodno,2008,j9eAXacDaeQ
Ceca,Autogram,2016,17LhH2IkZns
Grše,Highlife,2021,Psqu7lQkWUw
Jala Brat & Buba Corelli,Tec-9,2025,Ohuep5eCtWQ
Senidah,Delija,2024,gtTVuebS-Ss
Tajci ,Hajde da ludujemo,1990,xIpDV_Qe2Ug
Padjen bend ,Sta si mi u kafu stavila,1993,-uy9ety4Sro
Kamelia,Luda po tebe,1999,oJr_UpVzOro
Nedeljko Bajic Baja,Koktel ljubavi,2004,ZM5CuiuGkaA
